postcode_district,lat,lon,town_terms,named_area_count,named_warning_count,rivers,sample_areas
B1,52.479,-1.908,Birmingham city,0,0,,
B15,52.464,-1.928,Edgbaston,1,1,River Rea,River Rea at Edgbaston
BL1,53.585,-2.435,Bolton,12,11,"Groundwater | Irish Sea | Kirk Beck, Skirden Beck | Kym | River Dearne | River Eden","Upper River Irwell catchment with Oldham, Bolton, Rochdale, Haslingden, Ramsbottom and Rawtenstall; River Wharfe at Bolton Bridge; River Eden at Bolton"
BL3,53.567,-2.443,Bolton,12,11,"Groundwater | Irish Sea | Kirk Beck, Skirden Beck | Kym | River Dearne | River Eden","Upper River Irwell catchment with Oldham, Bolton, Rochdale, Haslingden, Ramsbottom and Rawtenstall; River Wharfe at Bolton Bridge; River Eden at Bolton"
BS1,51.453,-2.597,Bristol city,0,0,,
CB1,52.198,0.137,Cambridge,19,19,Alconbury Brook | Bin Brook | Bourn Brook | Bury Brook | Cottenham Lode | Ellington Brook,Lower River Cam in Cambridgeshire; Middle Level of the Fens in Cambridgeshire and Norfolk; River Kym in Bedford Borough and Cambridgeshire
CF10,51.479,-3.176,Cardiff,0,0,,
CO1,51.889,0.903,Colchester,3,3,Colne,"The River Colne from Great Yeldham to Colchester; The River Colne, through Colchester; Riverside properties on the River Colne in Colchester"
CV1,52.408,-1.51,Coventry,4,4,Sherbourne | Sowe,"River Sowe at Manor House, Coventry; River Sherbourne at Coventry City Centre; River Sowe at Wyken and Stoke, Coventry"
E1,51.516,-0.06,Whitechapel | Tower Hamlets,1,1,River Thames,"Tidal Thames in the boroughs of Tower Hamlets, City of London, City of Westminster, Ken and Chelsea"
EC1,51.524,-0.099,Clerkenwell | Islington,3,3,Brislington Brook,"Brislington Brook, other properties set back from the river; Brislington Brook, riverside properties; Brislington Brook, low lying properties set back from the river"
GL1,51.864,-2.238,Gloucester,11,11,River Severn | River Wye | Severn Estuary | Wye Estuary,Tributaries in Gloucester; River Severn in Gloucestershire; River Severn at Gloucester
LE1,52.635,-1.132,Leicester,16,16,Braunstone Brook | Bushby Brook | Evington Brook | Melton Brook | River Devon | River Sence,"Rothley Brook, Quorn Brook and Sileby Brook in Leicestershire; Lower River Soar in Leicestershire; River Wreake in Leicestershire"
LS1,53.797,-1.546,Leeds city,0,0,,
