postcode_district,month,category,count
B1,2026-02,burglary,40
B15,2026-02,burglary,26
BL1,2026-02,burglary,0
BL3,2026-02,burglary,0
BS1,2026-02,burglary,89
CB1,2026-02,burglary,8
CF10,2026-02,burglary,23
CO1,2026-02,burglary,5
CV1,2026-02,burglary,47
E1,2026-02,burglary,86
EC1,2026-02,burglary,99
GL1,2026-02,burglary,0
LE1,2026-02,burglary,24
LS1,2026-02,burglary,70
LS6,2026-02,burglary,36
M1,2026-02,burglary,1
M14,2026-02,burglary,0
M20,2026-02,burglary,0
N1,2026-02,burglary,76
NE1,2026-02,burglary,33
NG1,2026-02,burglary,36
OL1,2026-02,burglary,0
OL9,2026-02,burglary,0
OX1,2026-02,burglary,8
RG1,2026-02,burglary,18
S1,2026-02,burglary,42
SE1,2026-02,burglary,71
SW1,2026-02,burglary,58
WN3,2026-02,burglary,0
WN5,2026-02,burglary,0
WA14,2026-02,burglary,0
HX7,2026-02,burglary,2
HX6,2026-02,burglary,2
WS2,2026-02,burglary,13
HD1,2026-02,burglary,20
PR1,2026-02,burglary,23
B1,2026-02,criminal-damage-arson,84
B15,2026-02,criminal-damage-arson,20
BL1,2026-02,criminal-damage-arson,0
BL3,2026-02,criminal-damage-arson,0
BS1,2026-02,criminal-damage-arson,87
CB1,2026-02,criminal-damage-arson,30
CF10,2026-02,criminal-damage-arson,77
CO1,2026-02,criminal-damage-arson,18
CV1,2026-02,criminal-damage-arson,59
E1,2026-02,criminal-damage-arson,78
EC1,2026-02,criminal-damage-arson,53
GL1,2026-02,criminal-damage-arson,0
LE1,2026-02,criminal-damage-arson,74
LS1,2026-02,criminal-damage-arson,59
LS6,2026-02,criminal-damage-arson,33
M1,2026-02,criminal-damage-arson,0
M14,2026-02,criminal-damage-arson,0
M20,2026-02,criminal-damage-arson,0
N1,2026-02,criminal-damage-arson,45
NE1,2026-02,criminal-damage-arson,21
NG1,2026-02,criminal-damage-arson,88
OL1,2026-02,criminal-damage-arson,0
OL9,2026-02,criminal-damage-arson,0
OX1,2026-02,criminal-damage-arson,27
RG1,2026-02,criminal-damage-arson,38
S1,2026-02,criminal-damage-arson,67
SE1,2026-02,criminal-damage-arson,68
SW1,2026-02,criminal-damage-arson,60
WN3,2026-02,criminal-damage-arson,0
WN5,2026-02,criminal-damage-arson,0
WA14,2026-02,criminal-damage-arson,0
HX7,2026-02,criminal-damage-arson,0
HX6,2026-02,criminal-damage-arson,13
WS2,2026-02,criminal-damage-arson,53
HD1,2026-02,criminal-damage-arson,28
PR1,2026-02,criminal-damage-arson,44
